date,E-Today(KWH)
02-03-2025,50
02-03-2025,50
02-03-2025,50
03-03-2025,10
04-03-2025,57
04-03-2025,57
04-03-2025,57
04-03-2025,57
05-03-2025,59
05-03-2025,59
05-03-2025,59
05-03-2025,59
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
06-03-2025,12
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
07-03-2025,1
08-03-2025,58
08-03-2025,58
09-03-2025,36
10-03-2025,11
10-03-2025,11
10-03-2025,11
10-03-2025,11
10-03-2025,11
10-03-2025,11
10-03-2025,11
10-03-2025,11
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
11-03-2025,35
12-03-2025,48
13-03-2025,41
13-03-2025,41
14-03-2025,33
14-03-2025,33
15-03-2025,41
15-03-2025,41
15-03-2025,41
15-03-2025,41
16-03-2025,55
17-03-2025,50
18-03-2025,47
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
19-03-2025,36
20-03-2025,55
20-03-2025,55
21-03-2025,45
21-03-2025,45
22-03-2025,51
22-03-2025,51
23-03-2025,51
23-03-2025,51
23-03-2025,51
23-03-2025,51
23-03-2025,51
23-03-2025,51
23-03-2025,51
23-03-2025,51
24-03-2025,28
24-03-2025,28
24-03-2025,28
24-03-2025,28
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
25-03-2025,25
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
26-03-2025,13
27-03-2025,55
28-03-2025,49
28-03-2025,49
28-03-2025,49
28-03-2025,49
28-03-2025,49
28-03-2025,49
28-03-2025,49
28-03-2025,49
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
29-03-2025,55
30-03-2025,61
31-03-2025,40
31-03-2025,40
31-03-2025,40
31-03-2025,40
31-03-2025,40
31-03-2025,40
31-03-2025,40
31-03-2025,40
01-04-2025,55
01-04-2025,55
01-04-2025,55
01-04-2025,55
01-04-2025,55
01-04-2025,55
01-04-2025,55
01-04-2025,55
01-04-2025,55
01-04-2025,55
02-04-2025,54
03-04-2025,24
04-04-2025,62
05-04-2025,58
06-04-2025,56
07-04-2025,53
08-04-2025,35
08-04-2025,35
08-04-2025,35
08-04-2025,35
08-04-2025,35
08-04-2025,35
08-04-2025,35
08-04-2025,35
08-04-2025,35
08-04-2025,35
08-04-2025,35
09-04-2025,32
10-04-2025,44
11-04-2025,56
11-04-2025,56
11-04-2025,56
11-04-2025,56
11-04-2025,56
11-04-2025,56
12-04-2025,57
12-04-2025,57
12-04-2025,57
12-04-2025,57
12-04-2025,57
12-04-2025,57
13-04-2025,54
13-04-2025,54
14-04-2025,55
15-04-2025,56
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
16-04-2025,29
17-04-2025,47
18-04-2025,31
18-04-2025,31
18-04-2025,31
18-04-2025,31
18-04-2025,31
18-04-2025,31
18-04-2025,31
18-04-2025,31
19-04-2025,53
19-04-2025,53
19-04-2025,53
19-04-2025,53
19-04-2025,53
19-04-2025,53
19-04-2025,53
19-04-2025,53
20-04-2025,57
21-04-2025,55
22-04-2025,55
23-04-2025,53
23-04-2025,53
23-04-2025,53
23-04-2025,53
23-04-2025,53
23-04-2025,53
24-04-2025,51
25-04-2025,55
25-04-2025,55
26-04-2025,57
26-04-2025,57
26-04-2025,57
26-04-2025,57
26-04-2025,57
26-04-2025,57
26-04-2025,57
26-04-2025,57
27-04-2025,58
28-04-2025,45
28-04-2025,45
28-04-2025,45
28-04-2025,45
28-04-2025,45
28-04-2025,45
28-04-2025,45
28-04-2025,45
29-04-2025,56
30-04-2025,44
01-05-2025,37
01-05-2025,37
01-05-2025,37
01-05-2025,37
01-05-2025,37
01-05-2025,37
01-05-2025,37
01-05-2025,37
01-05-2025,37
01-05-2025,37
02-05-2025,52
03-05-2025,18
03-05-2025,18
03-05-2025,18
03-05-2025,18
03-05-2025,18
03-05-2025,18
03-05-2025,18
03-05-2025,18
04-05-2025,20
05-05-2025,56
06-05-2025,48
07-05-2025,47
08-05-2025,34
09-05-2025,51
09-05-2025,51
09-05-2025,51
09-05-2025,51
09-05-2025,51
09-05-2025,51
09-05-2025,51
09-05-2025,51
10-05-2025,49
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
11-05-2025,44
12-05-2025,28
12-05-2025,28
12-05-2025,28
12-05-2025,28
12-05-2025,28
12-05-2025,28
12-05-2025,28
12-05-2025,28
12-05-2025,28
12-05-2025,28
13-05-2025,42
13-05-2025,42
13-05-2025,42
13-05-2025,42
13-05-2025,42
13-05-2025,42
13-05-2025,42
13-05-2025,42
14-05-2025,58
15-05-2025,56
15-05-2025,56
16-05-2025,58
17-05-2025,57
18-05-2025,40
18-05-2025,40
18-05-2025,40
19-05-2025,56
19-05-2025,56
19-05-2025,56
19-05-2025,56
19-05-2025,56
19-05-2025,56
19-05-2025,56
19-05-2025,56
20-05-2025,56
21-05-2025,58
21-05-2025,58
21-05-2025,58
21-05-2025,58
21-05-2025,58
21-05-2025,58
21-05-2025,58
21-05-2025,58
22-05-2025,58
23-05-2025,48
23-05-2025,48
23-05-2025,48
23-05-2025,48
23-05-2025,48
23-05-2025,48
23-05-2025,48
23-05-2025,48
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
24-05-2025,35
25-05-2025,58
26-05-2025,52
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
27-05-2025,32
28-05-2025,49
29-05-2025,46
29-05-2025,46
29-05-2025,46
29-05-2025,46
29-05-2025,46
29-05-2025,46
30-05-2025,32
30-05-2025,32
30-05-2025,32
30-05-2025,32
30-05-2025,32
30-05-2025,32
30-05-2025,32
30-05-2025,32
31-05-2025,43
01-06-2025,62
02-06-2025,56
02-06-2025,56
02-06-2025,56
02-06-2025,56
02-06-2025,56
02-06-2025,56
02-06-2025,56
02-06-2025,56
03-06-2025,59
03-06-2025,59
03-06-2025,59
03-06-2025,59
03-06-2025,59
03-06-2025,59
03-06-2025,59
03-06-2025,59
04-06-2025,56
04-06-2025,56
05-06-2025,54
06-06-2025,51
07-06-2025,40
07-06-2025,40
07-06-2025,40
07-06-2025,40
07-06-2025,40
07-06-2025,40
07-06-2025,40
07-06-2025,40
07-06-2025,40
07-06-2025,40
08-06-2025,57
09-06-2025,54
09-06-2025,54
09-06-2025,54
09-06-2025,54
10-06-2025,57
11-06-2025,56
12-06-2025,53
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
13-06-2025,52
